Country,Andorra,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nicaragua,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Singapore,Slovakia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam
Latvia,,2.167,2.324,4.432,2.188,1.431,2.027,1.921,1.572,1.566,4.024,1.588,1.969,1.041,3.416,4.378,2.27,2.426,0.392,0.309,1.397,2.552,3.389,4.143,2.548,3.356,5.005,0.208,2.658,2.986,3.136,1.828,2.962,6.334,0.0,0.121,1.365,3.935,4.25,2.071,0.119,2.206,2.869,0.155,3.857,2.192,2.451,4.306,3.031,1.991,2.837,2.565,4.233,3.876,9.617,2.353,2.11,1.288,0.574,2.932,2.243,1.688,1.879,2.633,3.283,3.015,2.472,1.697,2.534
Lithuania,,1.341,1.812,3.275,1.646,1.069,1.301,1.257,1.125,1.015,2.855,1.025,1.261,1.1,2.423,3.228,1.497,1.651,0.106,0.097,1.011,1.748,2.439,3.355,1.801,2.478,3.961,0.227,1.981,2.178,2.361,1.143,2.183,4.907,0.121,0.0,0.754,3.225,3.166,1.364,0.248,1.623,2.067,0.279,3.027,1.408,1.628,3.403,2.222,1.397,2.173,2.064,3.278,3.143,8.166,1.633,1.345,0.735,0.795,2.084,1.4,1.059,1.186,2.156,2.472,2.439,1.964,1.024,1.88
Luxembourg,,0.253,0.607,1.077,0.651,1.404,0.628,0.98,0.364,1.293,1.444,1.582,0.19,2.123,1.105,1.94,1.001,1.328,0.35,0.522,0.582,0.24,1.217,3.204,1.389,1.615,1.352,1.449,1.137,1.782,0.868,0.434,0.472,1.938,1.365,0.754,0.0,2.731,1.536,0.535,1.282,0.538,1.657,1.599,2.603,0.485,1.234,2.195,0.759,1.457,1.819,1.982,2.115,2.809,4.74,0.363,1.095,0.331,2.345,0.412,0.925,1.143,0.661,2.503,1.777,1.054,0.736,0.717,1.829
Malaysia,,2.513,3.745,5.4,2.977,1.479,1.197,1.522,3.086,2.089,1.56,3.829,1.965,5.23,0.822,0.898,1.266,2.06,2.8,3.444,2.394,3.321,3.25,2.048,0.891,0.567,4.611,4.215,0.492,0.37,3.605,4.919,3.185,4.069,3.935,3.225,2.731,0.0,1.338,1.038,4.203,4.273,0.908,4.552,1.163,1.066,1.807,0.21,2.467,2.868,1.309,1.681,0.889,0.677,3.142,2.105,1.905,2.252,4.763,3.383,1.378,1.18,1.634,1.877,0.849,3.895,3.642,3.752,0.554
Mexico,,0.749,2.815,2.823,1.176,1.346,0.421,0.713,2.583,1.484,0.235,2.926,0.739,6.356,0.705,0.32,0.516,0.869,2.571,3.228,1.289,1.729,0.712,1.268,0.517,1.365,1.894,4.763,0.997,0.993,2.953,2.903,1.351,1.028,4.25,3.166,1.536,1.338,0.0,0.442,4.606,3.239,0.576,5.148,0.731,0.446,0.795,0.701,0.516,1.478,0.629,1.014,0.172,2.666,2.068,1.479,0.975,1.033,6.238,1.918,0.845,1.263,0.58,1.501,0.33,3.372,2.907,1.808,1.866
Morocco,,0.36,1.457,2.285,0.631,0.622,0.065,0.353,1.109,0.853,0.596,1.919,0.169,3.551,0.445,0.691,0.286,0.711,0.961,1.392,0.465,0.92,0.91,1.602,0.352,0.82,1.778,2.434,0.357,0.647,1.732,1.737,0.804,1.726,2.071,1.364,0.535,1.038,0.442,0.0,2.24,1.752,0.511,2.664,1.0,0.029,0.623,0.696,0.432,1.078,0.595,0.806,0.585,1.786,3.087,0.591,0.636,0.321,3.413,1.103,0.46,0.575,0.209,1.24,0.443,1.933,1.525,1.145,0.999
Netherlands,,2.336,1.746,3.992,2.3,2.006,2.351,2.46,1.125,2.22,4.455,2.193,1.983,0.588,3.402,4.816,2.769,3.103,0.381,0.255,1.578,2.218,3.919,5.179,3.097,3.329,4.603,0.209,2.599,3.349,2.473,1.746,2.697,6.282,0.119,0.248,1.282,4.203,4.606,2.24,0.0,1.628,3.481,0.105,4.675,2.331,3.067,4.448,3.197,2.739,3.52,3.281,4.766,3.821,9.336,2.009,2.693,1.572,0.357,2.495,2.644,2.144,2.298,3.526,3.862,2.257,1.848,2.136,2.698
New Zealand,,1.369,0.185,0.814,1.773,3.428,2.138,2.897,0.172,3.358,3.185,3.355,1.045,1.658,1.93,3.741,2.846,3.498,0.961,0.994,1.816,0.297,3.137,6.25,3.386,2.391,1.43,1.955,1.926,3.371,0.209,0.808,0.783,2.767,2.206,1.623,0.538,4.273,3.239,1.752,1.628,0.0,3.78,2.009,5.226,1.613,3.268,3.503,2.024,3.735,4.156,4.396,4.222,3.516,5.404,0.46,3.029,1.687,2.398,0.265,2.487,2.815,2.338,5.224,3.918,0.255,0.235,2.254,2.945
Nicaragua,,1.024,3.605,4.007,1.74,0.459,0.286,0.185,2.899,0.419,0.416,1.501,1.129,5.091,0.943,0.342,0.1,0.262,1.872,2.403,1.344,2.522,1.03,0.433,0.02,1.159,3.766,3.243,1.066,0.333,3.708,2.896,2.449,2.837,2.869,2.067,1.657,0.908,0.576,0.511,3.481,3.78,0.0,3.652,0.149,0.522,0.197,0.918,1.291,0.664,0.203,0.483,0.334,1.952,4.319,2.055,0.273,0.824,4.546,2.842,0.284,0.287,0.324,0.465,0.107,4.265,3.722,1.345,0.953
Norway,,2.686,2.369,4.331,3.02,2.263,2.68,2.664,1.576,2.205,4.697,1.848,2.474,0.444,3.703,5.049,2.963,3.205,0.487,0.3,2.162,2.697,4.323,5.356,3.324,3.494,5.52,0.036,3.047,3.431,2.875,1.822,3.422,7.043,0.155,0.279,1.599,4.552,5.148,2.664,0.105,2.009,3.652,0.0,4.924,2.687,3.129,4.957,3.895,2.831,3.894,3.713,5.272,3.848,10.507,2.501,2.712,1.893,0.191,2.996,2.656,2.11,2.583,3.743,4.241,2.857,2.491,2.189,2.678
Panama,,1.656,4.856,5.336,2.2,0.668,0.69,0.469,4.121,0.764,0.715,2.203,1.797,6.787,1.627,0.575,0.405,0.482,2.9,3.55,1.813,3.607,1.25,0.141,0.211,1.913,4.61,4.493,1.697,0.746,5.15,4.102,3.279,3.35,3.857,3.027,2.603,1.163,0.731,1.0,4.675,5.226,0.149,4.924,0.0,1.085,0.491,1.215,1.658,0.876,0.167,0.401,0.291,2.776,4.555,3.069,0.648,1.365,5.999,4.002,0.815,0.787,0.691,0.34,0.134,5.686,4.991,1.975,1.65
Paraguay,,0.32,1.438,1.982,0.814,0.795,0.089,0.4,1.075,0.877,0.473,1.793,0.185,3.438,0.291,0.574,0.286,0.716,0.948,1.367,0.66,0.813,0.942,1.725,0.386,0.646,1.751,2.409,0.35,0.559,1.521,1.567,0.82,1.605,2.192,1.408,0.485,1.066,0.446,0.029,2.331,1.613,0.522,2.687,1.085,0.0,0.582,0.695,0.536,1.153,0.748,1.041,0.662,1.597,3.072,0.514,0.588,0.385,3.4,0.965,0.34,0.519,0.249,1.442,0.526,1.84,1.504,1.101,0.869
Peru,,0.626,3.355,3.183,1.534,0.561,0.295,0.102,2.665,0.172,0.402,0.759,0.978,4.619,1.216,0.628,0.078,0.029,1.478,1.888,1.227,2.109,0.585,0.618,0.2,1.603,3.453,2.709,1.56,0.739,3.456,1.908,2.211,2.589,2.451,1.628,1.234,1.807,0.795,0.623,3.067,3.268,0.197,3.129,0.491,0.582,0.0,1.687,1.176,0.262,0.418,0.685,0.78,2.661,5.268,2.015,0.018,0.518,4.204,2.488,0.159,0.274,0.188,0.622,0.438,4.125,3.554,0.579,1.369
Philippines,,1.863,2.94,4.088,2.272,1.682,0.921,1.426,2.548,2.238,1.043,4.0,1.362,5.539,0.421,0.578,1.119,1.934,2.762,3.442,2.017,2.408,2.525,2.177,0.861,0.486,3.113,4.615,0.303,0.514,2.791,4.243,2.166,2.566,4.306,3.403,2.195,0.21,0.701,0.696,4.448,3.503,0.918,4.957,1.215,0.695,1.687,0.0,1.643,2.814,1.257,1.699,0.568,0.989,1.831,1.456,1.829,1.927,5.362,2.419,1.271,1.365,1.372,2.152,0.714,3.074,2.855,3.381,0.869
Poland,,0.328,1.545,2.016,0.173,1.288,0.488,0.835,1.526,1.584,0.96,2.803,0.249,5.121,1.319,1.418,0.844,1.124,1.731,2.203,0.409,0.888,0.47,2.125,1.051,2.222,0.896,3.73,1.307,1.988,2.236,1.8,0.426,0.918,3.031,2.222,0.759,2.467,0.516,0.432,3.197,2.024,1.291,3.895,1.658,0.536,1.176,1.643,0.0,1.341,0.98,1.095,0.938,3.843,2.895,0.99,1.251,0.486,5.105,1.134,1.311,1.694,0.52,1.837,0.955,2.272,1.692,1.221,2.729
Portugal,,0.859,3.763,3.914,1.379,0.465,0.64,0.239,3.052,0.147,1.165,0.658,1.298,4.778,2.335,1.612,0.415,0.134,1.501,1.824,1.037,2.607,0.578,0.718,0.604,2.858,3.981,2.524,2.448,1.648,4.375,1.952,2.571,3.405,1.991,1.397,1.457,2.868,1.478,1.078,2.739,3.735,0.664,2.831,0.876,1.153,0.262,2.814,1.341,0.0,0.54,0.558,1.397,4.108,6.906,2.718,0.236,0.477,4.132,3.142,0.71,0.688,0.345,0.465,0.88,4.848,4.043,0.388,2.367
Romania,,1.096,3.7,4.574,1.244,0.274,0.364,0.212,3.104,0.54,0.794,1.94,1.136,5.73,1.555,0.825,0.257,0.345,2.087,2.647,0.925,2.757,0.831,0.314,0.153,1.96,3.627,3.601,1.398,0.915,4.325,3.23,2.345,2.915,2.837,2.173,1.819,1.309,0.629,0.595,3.52,4.156,0.203,3.894,0.167,0.748,0.418,1.257,0.98,0.54,0.0,0.075,0.314,2.971,4.439,2.363,0.522,0.725,4.999,3.167,0.766,0.705,0.323,0.196,0.101,4.598,3.848,1.412,1.728
Russia,,1.324,3.832,5.128,1.162,0.203,0.566,0.349,3.235,0.633,1.306,2.11,1.312,5.737,2.103,1.385,0.497,0.536,2.107,2.633,0.794,3.053,1.007,0.456,0.385,2.528,3.93,3.507,1.717,1.353,4.762,3.445,2.527,3.464,2.565,2.064,1.982,1.681,1.014,0.806,3.281,4.396,0.483,3.713,0.401,1.041,0.685,1.699,1.095,0.558,0.075,0.0,0.618,3.561,5.116,2.67,0.767,0.763,4.862,3.525,1.145,0.963,0.468,0.142,0.327,4.859,3.997,1.52,2.165
Saudi Arabia,,1.256,3.664,4.188,1.563,0.991,0.504,0.639,3.248,1.315,0.46,3.017,1.178,6.747,0.982,0.337,0.484,0.822,2.856,3.565,1.452,2.62,1.079,0.736,0.317,1.443,3.017,4.892,1.047,0.766,3.931,3.81,2.141,2.017,4.233,3.278,2.115,0.889,0.172,0.585,4.766,4.222,0.334,5.272,0.291,0.662,0.78,0.568,0.938,1.397,0.314,0.618,0.0,2.481,2.582,2.099,0.979,1.254,6.294,2.87,0.929,1.115,0.66,0.937,0.09,4.302,3.737,2.201,1.661
Singapore,,3.144,3.511,4.794,4.34,2.711,2.053,2.546,2.731,2.884,2.382,3.84,2.586,3.615,0.869,1.677,2.165,3.135,2.585,3.027,3.597,3.237,4.716,3.962,1.943,0.273,5.334,3.448,0.792,0.686,2.668,4.515,3.776,5.088,3.876,3.143,2.809,0.677,2.666,1.786,3.821,3.516,1.952,3.848,2.776,1.597,2.661,0.989,3.843,4.108,2.971,3.561,2.481,0.0,4.477,1.994,2.609,3.07,3.574,3.128,1.674,1.496,2.603,3.636,2.281,3.224,3.352,4.319,0.257
Slovakia,,4.062,4.343,4.829,4.004,5.786,3.685,4.899,4.763,6.711,3.133,9.266,3.318,10.675,2.38,2.83,4.347,5.556,6.785,7.748,4.623,3.764,4.614,6.007,4.156,3.169,2.535,10.174,2.569,3.985,4.172,7.195,2.946,1.933,9.617,8.166,4.74,3.142,2.068,3.087,9.336,5.404,4.319,10.507,4.555,3.072,5.268,1.831,2.895,6.906,4.439,5.116,2.582,4.477,0.0,3.066,5.626,4.992,11.215,3.522,4.763,5.581,4.401,6.439,3.467,4.249,4.189,7.003,4.821
South Africa,,0.748,0.317,1.137,1.066,2.108,0.944,1.656,0.234,2.318,1.647,3.03,0.337,2.493,0.63,1.86,1.51,2.24,0.94,1.226,1.068,0.212,2.089,4.091,1.767,1.017,1.027,2.357,0.577,1.689,0.329,1.313,0.366,1.711,2.353,1.633,0.363,2.105,1.479,0.591,2.009,0.46,2.055,2.501,3.069,0.514,2.015,1.456,0.99,2.718,2.363,2.67,2.099,1.994,3.066,0.0,1.929,1.016,2.935,0.187,1.383,1.669,1.244,3.436,2.007,0.417,0.317,1.955,1.592
South Korea,,0.599,3.179,3.071,1.528,0.532,0.312,0.108,2.463,0.108,0.527,0.564,0.949,4.134,1.252,0.779,0.108,0.053,1.23,1.587,1.176,2.005,0.667,0.775,0.262,1.596,3.501,2.312,1.565,0.77,3.279,1.675,2.187,2.773,2.11,1.345,1.095,1.905,0.975,0.636,2.693,3.029,0.273,2.712,0.648,0.588,0.018,1.829,1.251,0.236,0.522,0.767,0.979,2.609,5.626,1.929,0.0,0.45,3.736,2.385,0.136,0.211,0.191,0.681,0.571,3.935,3.381,0.465,1.301
Spain,,0.193,1.576,2.219,0.401,0.488,0.219,0.265,1.173,0.485,1.019,1.103,0.253,3.129,1.311,1.453,0.378,0.482,0.566,0.843,0.222,0.97,0.56,1.645,0.623,1.847,2.038,1.72,1.227,1.379,2.159,0.995,0.931,2.196,1.288,0.735,0.331,2.252,1.033,0.321,1.572,1.687,0.824,1.893,1.365,0.385,0.518,1.927,0.486,0.477,0.725,0.763,1.254,3.07,4.992,1.016,0.45,0.0,2.894,1.308,0.592,0.661,0.127,1.088,0.877,2.34,1.757,0.363,1.769
Sweden,,3.76,2.789,5.22,4.177,3.129,3.561,3.672,1.917,3.186,5.758,2.81,3.326,0.196,4.134,5.887,3.916,4.387,0.968,0.74,3.135,3.42,5.87,6.667,4.206,3.618,6.618,0.251,3.321,3.852,3.081,2.754,4.322,8.401,0.574,0.795,2.345,4.763,6.238,3.413,0.357,2.398,4.546,0.191,5.999,3.4,4.204,5.362,5.105,4.132,4.999,4.862,6.294,3.574,11.215,2.935,3.736,2.894,0.0,3.614,3.431,2.743,3.603,4.873,5.217,3.024,2.827,3.439,2.748
Switzerland,,0.782,0.286,0.453,1.23,2.97,1.445,2.221,0.362,2.918,1.987,3.307,0.539,2.897,1.148,2.483,2.07,2.705,1.279,1.504,1.464,0.033,2.109,5.0,2.522,1.797,0.617,2.837,1.365,2.622,0.241,0.924,0.272,1.353,2.932,2.084,0.412,3.383,1.918,1.103,2.495,0.265,2.842,2.996,4.002,0.965,2.488,2.419,1.134,3.142,3.167,3.525,2.87,3.128,3.522,0.187,2.385,1.308,3.614,0.0,1.866,2.39,1.679,4.407,2.811,0.409,0.34,1.939,2.59
Taiwan,,0.592,2.676,2.571,1.7,0.777,0.27,0.265,1.998,0.369,0.375,0.828,0.799,3.626,0.639,0.483,0.147,0.311,1.113,1.482,1.346,1.616,1.007,1.201,0.276,0.847,3.166,2.228,1.007,0.385,2.464,1.62,1.931,2.493,2.243,1.4,0.925,1.378,0.845,0.46,2.644,2.487,0.284,2.656,0.815,0.34,0.159,1.271,1.311,0.71,0.766,1.145,0.929,1.674,4.763,1.383,0.136,0.592,3.431,1.866,0.0,0.125,0.299,1.129,0.604,3.168,2.808,0.779,0.722
Thailand,,0.957,2.941,3.466,1.899,0.468,0.376,0.268,2.116,0.232,0.824,0.758,1.055,3.17,0.931,0.808,0.227,0.402,0.949,1.282,1.318,2.098,1.458,1.129,0.267,0.932,3.994,1.744,1.011,0.329,2.89,2.007,2.41,3.516,1.688,1.059,1.143,1.18,1.263,0.575,2.144,2.815,0.287,2.11,0.787,0.519,0.274,1.365,1.694,0.688,0.705,0.963,1.115,1.496,5.581,1.669,0.211,0.661,2.743,2.39,0.125,0.0,0.394,0.834,0.649,3.472,3.055,0.986,0.523
Turkey,,0.27,2.195,2.618,0.678,0.348,0.051,0.047,1.71,0.307,0.521,1.117,0.379,3.932,0.989,0.794,0.076,0.183,0.98,1.371,0.471,1.345,0.432,0.96,0.211,1.466,2.373,2.308,1.038,0.851,2.596,1.522,1.263,2.053,1.879,1.186,0.661,1.634,0.58,0.209,2.298,2.338,0.324,2.583,0.691,0.249,0.188,1.372,0.52,0.345,0.323,0.468,0.66,2.603,4.401,1.244,0.191,0.127,3.603,1.679,0.299,0.394,0.0,0.685,0.374,2.939,2.361,0.521,1.393
Ukraine,,1.778,4.841,5.966,1.932,0.245,0.853,0.422,4.008,0.454,1.517,1.716,1.923,5.921,2.518,1.537,0.583,0.481,2.349,2.847,1.369,3.869,1.363,0.242,0.445,2.779,5.209,3.462,2.223,1.337,5.633,3.829,3.515,4.466,2.633,2.156,2.503,1.877,1.501,1.24,3.526,5.224,0.465,3.743,0.34,1.442,0.622,2.152,1.837,0.465,0.196,0.142,0.937,3.636,6.439,3.436,0.681,1.088,4.873,4.407,1.129,0.834,0.685,0.0,0.503,5.923,5.034,1.601,2.125
United Arab Emirates,,1.055,3.485,4.153,1.411,0.517,0.295,0.296,2.936,0.752,0.472,2.207,1.032,5.776,1.0,0.388,0.218,0.459,2.209,2.822,1.145,2.504,0.948,0.47,0.086,1.352,3.296,3.888,0.985,0.555,3.811,3.292,2.161,2.443,3.283,2.472,1.777,0.849,0.33,0.443,3.862,3.918,0.107,4.241,0.134,0.526,0.438,0.714,0.955,0.88,0.101,0.327,0.09,2.281,3.467,2.007,0.571,0.877,5.217,2.811,0.604,0.649,0.374,0.503,0.0,4.186,3.585,1.668,1.318
United Kingdom,,1.993,0.13,1.388,2.074,3.967,2.539,3.564,0.262,4.331,3.674,4.841,1.318,2.222,1.891,3.991,3.434,4.409,1.609,1.746,2.153,0.567,3.995,7.01,3.828,2.268,1.378,2.863,1.641,3.562,0.173,1.886,0.853,2.914,3.015,2.439,1.054,3.895,3.372,1.933,2.257,0.255,4.265,2.857,5.686,1.84,4.125,3.074,2.272,4.848,4.598,4.859,4.302,3.224,4.249,0.417,3.935,2.34,3.024,0.409,3.168,3.472,2.939,5.923,4.186,0.0,0.076,3.485,3.058
United States,,1.544,0.013,1.4,1.414,3.239,2.051,2.947,0.128,3.677,3.293,4.296,0.925,2.207,1.816,3.675,2.902,3.748,1.258,1.41,1.49,0.406,3.279,6.144,3.279,2.282,1.123,2.529,1.467,3.304,0.327,1.593,0.537,2.627,2.472,1.964,0.736,3.642,2.907,1.525,1.848,0.235,3.722,2.491,4.991,1.504,3.554,2.855,1.692,4.043,3.848,3.997,3.737,3.352,4.189,0.317,3.381,1.757,2.827,0.34,2.808,3.055,2.361,5.034,3.585,0.076,0.0,2.868,2.956
Uruguay,,0.431,2.574,2.176,1.187,1.155,0.81,0.619,2.048,0.537,1.317,0.486,0.932,3.602,2.188,2.042,0.76,0.524,0.944,1.111,1.041,1.502,0.579,1.978,1.21,2.856,2.874,1.901,2.55,2.156,2.954,0.653,1.764,2.7,1.697,1.024,0.717,3.752,1.808,1.145,2.136,2.254,1.345,2.189,1.975,1.101,0.579,3.381,1.221,0.388,1.412,1.52,2.201,4.319,7.003,1.955,0.465,0.363,3.439,1.939,0.779,0.986,0.521,1.601,1.668,3.485,2.868,0.0,2.638
Vietnam,,1.984,3.004,4.057,3.073,1.423,1.067,1.289,2.172,1.434,1.501,2.192,1.688,2.982,0.628,1.063,1.062,1.7,1.54,1.923,2.351,2.525,3.139,2.478,0.939,0.235,4.63,2.299,0.579,0.208,2.498,3.191,2.992,4.32,2.534,1.88,1.829,0.554,1.866,0.999,2.698,2.945,0.953,2.678,1.65,0.869,1.369,0.869,2.729,2.367,1.728,2.165,1.661,0.257,4.821,1.592,1.301,1.769,2.748,2.59,0.722,0.523,1.393,2.125,1.318,3.058,2.956,2.638,0.0
